id,name,c1,c2,c3,story,nav,win,lose,dealer,doctor,weather,ninja
1,"Castle Treehouse - British Columbia, Canada",2,3,4,"Welcome to Castle Treehouse. This is one of the largest treehouses in BC and it will definitely bring you back to all those summer days you spent as a kid. All the classic fairytale characters are here, like Goldilocks and the Three Bears, and Captain Hook. But there’s also a fair share of dungeons and dragons. The grandest treehouse rises 50-feet above the forest canopy and is a giant cedar stump house.","Press[1] to got to Mammoth Cave National Park, Kentucky, USA --- Press[2] to got to Mount Everest, Napal --- Press[3] to got to Amazon River, America",0,0,1,0,0,0
2,"Mammoth Cave National Park, Kentucky, USA",4,5,6,"You are in Mammoth Cave.  The Mammoth Cave National Park preserves the longest known cave system in the world, as well as part of the verdant, hilly Green River valley in south central Kentucky. The first human to enter Mammoth Cave passed under its imposing arch about 4,000 years ago. Now, you can explore the winding caverns for yourself.","Press[1] to got to Amazon River, America --- Press[2] to got to Lake Michigan, USA --- Press[3] to got to BOLIVIA",0,0,0,0,1,1
3,"Mount Everest, Napal",6,7,8,"You are on mount Everest. Everest is composed of multiple layers of rock folded back on themselves (nappes). Rock on the lower elevations of the mountain consists of metamorphic schists and gneisses, topped by igneous granites. Higher up are found sedimentary rocks of marine origin (remnants of the ancient floor of the Tethys Sea that closed after the collision of the two plates). Notable is the Yellow Band, a limestone formation that is prominently visible just below the summit pyramid.","Press[1] to got to BOLIVIA --- Press[2] to got to Glacier Express, Switzerland --- Press[3] to got to Lion Air",0,0,1,1,0,1
4,"Amazon River, America",8,9,10,"You are riding a boat on the river Amazon. The Amazon River is unparalleled to any other river on Earth. Its massive volumes of water feed the adjacent Amazon Rainforest, make it impossible to build bridges over, and even raise the height of the ocean in the Caribbean Sea. In addition to the Amazon River's role as a global freshwater powerhouse, its geologic past, unique wildlife, and impact on human history make this river one of the most fascinating places on Earth. You may use your engineering skills to build a bridge over Amazon!",Press[1] to got to Lion Air --- Press[2] to got to Burj Khalifa --- Press[3] to got to Ireland,0,0,0,1,1,1
5,"Lake Michigan, USA",10,1,12,"Now you are in Lake Michigan, USA. Lake Michigan is the third largest of the five Great Lakes of North America and the only one lying wholly within the United States. it has a maximum width of 190 km and a drainage basin of about 118,000 square km, exclusive of its surface area, which is 57,757 square km. With a mean surface elevation of 176 m above sea level, the lake has a maximum depth of 281 m.","Press[1] to got to Ireland --- Press[2] to got to Castle Treehouse - British Columbia, Canada --- Press[3] to got to Egypt",0,0,0,1,0,1
6,BOLIVIA,12,13,14,"You are riding on the notorious Bolivian North Yungas Road, also known as The Death Road, by by bus. It is a 40-mile road connecting the Bolivian capital of La Paz with Yungas in the Amazonian rainforest. The road is extremely dangerous with approximately 200 to 300 people dying each year on the road.",Press[1] to got to Egypt --- Press[2] to got to Israel --- Press[3] to got to Sudbury,0,0,0,0,1,1
7,"Glacier Express, Switzerland",14,1,16,"Get your camera ready. You are now in Glacier Express, Switzerland. Departing from St. Moritz and ending in Zermatt, The Glacier Express takes passengers through the Swiss Alps and every type of landscape, from age-old forests to picturesque towns and, as the name suggests, pristine glaciers. You'll also see popular sites like the Landwasser Viaduct (shown), the Rhine Gorge, otherwise known as the ""Grand Canyon of Switzerland,"" and the famous Matterhorn. And while the sites alone are enough to entice any traveler to hop aboard, the luxe train offers one of the most opulent classes of train travel. The Excellence Class rivals even the most lavish hotels, offering five-course meals, unlimited drinks and coffee, and a bustling bar car for cocktails with a view. Enjoy the ride.","Press[1] to got to Sudbury --- Press[2] to got to Castle Treehouse - British Columbia, Canada --- Press[3] to got to Kerala",0,0,0,0,1,1
8,Lion Air,16,17,18,"Now you are on one of Lion Air's flights flying to the Bermuda Triangle. Just for your information purpose, The Bermuda Triangle is a triangular area in the vicinity of the Caribbean and Southern Atlantic. This location is notorious for being the graveyard of numerous ships and flights. However, it is very likely that the reputation of the Bermuda Triangle is blown out of proportion, as fights in Miami often cross the area and come out unscathed.",Press[1] to got to Kerala --- Press[2] to got to Maldives --- Press[3] to got to Hiroshima,0,0,0,0,0,0
9,Burj Khalifa,18,1,20,"Welcome to Burj Khalifa. This is a mixed-use skyscraper located in Dubai, U.A.E. It is the world’s tallest building, according to all three of the main criteria by which such buildings are judged. ","Press[1] to got to Hiroshima --- Press[2] to got to Castle Treehouse - British Columbia, Canada --- Press[3] to got to Hellish Island",0,0,0,0,1,0
10,Ireland,20,19,18,"Now you are in Ireland. You got a mountain bicycle. You are going to cross the Cliffs of Moher. The Cliffs of Moher are an intimidating set of cliffsides, in general, and even those who walk to the edge are bound to feel, a little unsteady on their feet. Biking brings on a new type of fear - or adrenaline, depending on who you are - when it comes to this unbelievably narrow bike path.",Press[1] to got to Hellish Island --- Press[2] to got to Sinharaja --- Press[3] to got to Hiroshima,0,0,0,1,0,1
